#chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	evidenceSources	elementType	eliteness
chr1	13200	13800	GH01J000013	1	.	13200	13800	192,192,192	Ensembl	Enhancer	-
chr1	21061	22000	GH01J000021	1	.	21061	22000	192,192,192	Ensembl	Enhancer	-
chr1	28199	30001	GH01J000028	94	.	28199	30001	255,102,102	Ensembl	Promoter	-
chr1	96000	97800	GH01J000096	1	.	96000	97800	192,192,192	Ensembl	Enhancer	-
chr1	178999	179401	GH01J000179	1	.	178999	179401	192,192,192	Ensembl	Enhancer	-
chr1	183800	184000	GH01J000183	1	.	183800	184000	192,192,192	Ensembl	Enhancer	-
chr1	184200	184601	GH01J000184	1	.	184200	184601	192,192,192	Ensembl	Enhancer	-
chr1	191400	192233	GH01J000191	1	.	191400	192233	192,192,192	Ensembl	Enhancer	-
chr1	198799	200201	GH01J000198	94	.	198799	200201	255,102,102	Ensembl	Promoter	-
chr1	272600	274800	GH01J000272	71	.	272600	274800	192,192,192	Ensembl	Enhancer	-
chr1	376731	377800	GH01J000376	1	.	376731	377800	192,192,192	Ensembl	Enhancer	-
chr1	406600	407800	GH01J000406	1	.	406600	407800	192,192,192	Ensembl	Enhancer	-
chr1	604955	606000	GH01J000604	151	.	604955	606000	160,160,160	Ensembl	Enhancer	-
chr1	629100	629250	GH01J000629	63	.	629100	629250	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	630020	630050	GH01J000638	63	.	630020	630050	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	630060	630170	GH01J000630	63	.	630060	630170	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	630520	630630	GH01J000641	63	.	630520	630630	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	631380	631530	GH01J000639	63	.	631380	631530	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	631680	631870	GH01J000631	63	.	631680	631870	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	632160	632330	GH01J000632	63	.	632160	632330	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	632360	632470	GH01J000636	63	.	632360	632470	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	632940	633090	GH01J000637	63	.	632940	633090	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	633540	633690	GH01J000633	63	.	633540	633690	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	633740	633810	GH01J000634	63	.	633740	633810	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	634400	634590	GH01J000640	63	.	634400	634590	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	634660	634810	GH01J000635	63	.	634660	634810	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	642400	642600	GH01J000642	1	.	642400	642600	192,192,192	Ensembl	Enhancer	-
chr1	643000	643600	GH01J000643	1	.	643000	643600	192,192,192	Ensembl	Enhancer	-
chr1	777745	780001	GH01J000777	427	.	777745	780001	255,51,51	ENCODE(Z-Lab),Ensembl	Promoter/Enhancer	Elite
chr1	807200	808200	GH01J000807	1	.	807200	808200	192,192,192	Ensembl	Enhancer	-
chr1	816657	819386	GH01J000816	342	.	816657	819386	255,102,102	ENCODE(Z-Lab),Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	826199	828801	GH01J000826	475	.	826199	828801	255,51,51	ENCODE(Z-Lab),Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	829400	829600	GH01J000830	133	.	829400	829600	160,160,160	Ensembl,dbSUPER	Enhancer	Elite
chr1	829721	839165	GH01J000829	178	.	829721	839165	95,95,95	dbSUPER	Enhancer	-
chr1	841800	842200	GH01J000841	98	.	841800	842200	160,160,160	Ensembl,dbSUPER	Enhancer	Elite
chr1	842840	842990	GH01J000842	230	.	842840	842990	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	843585	844977	GH01J000843	63	.	843585	844977	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	845740	845890	GH01J000845	144	.	845740	845890	160,160,160	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	846808	850652	GH01J000846	56	.	846808	850652	192,192,192	dbSUPER	Enhancer	-
chr1	851082	852146	GH01J000851	56	.	851082	852146	192,192,192	dbSUPER	Enhancer	-
chr1	857133	857876	GH01J000857	36	.	857133	857876	192,192,192	dbSUPER	Enhancer	-
chr1	858200	859200	GH01J000858	144	.	858200	859200	160,160,160	Ensembl,dbSUPER	Enhancer	Elite
chr1	869600	870322	GH01J000869	259	.	869600	870322	95,95,95	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	904199	905618	GH01J000904	466	.	904199	905618	255,51,51	ENCODE(Z-Lab),Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	906880	906990	GH01J000906	151	.	906880	906990	160,160,160	ENCODE(Z-Lab)	Enhancer	-
chr1	909246	910600	GH01J000909	105	.	909246	910600	160,160,160	Ensembl	Enhancer	-
chr1	913517	914030	GH01J000913	71	.	913517	914030	192,192,192	dbSUPER	Enhancer	-
chr1	915345	918115	GH01J000915	204	.	915345	918115	95,95,95	dbSUPER	Enhancer	-
chr1	919180	921600	GH01J000919	376	.	919180	921600	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	922875	923268	GH01J000922	203	.	922875	923268	95,95,95	FANTOM5,dbSUPER	Enhancer	Elite
chr1	923760	925750	GH01J000923	450	.	923760	925750	255,51,51	ENCODE(Z-Lab),Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	931131	932057	GH01J000931	179	.	931131	932057	95,95,95	dbSUPER	Enhancer	-
chr1	932148	934053	GH01J000932	187	.	932148	934053	95,95,95	dbSUPER	Enhancer	-
chr1	937876	939081	GH01J000937	203	.	937876	939081	95,95,95	ENCODE(Z-Lab)	Enhancer	-
chr1	939289	945619	GH01J000939	408	.	939289	945619	255,51,51	ENCODE(Z-Lab),Ensembl	Promoter/Enhancer	Elite
chr1	957706	961782	GH01J000957	566	.	957706	961782	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	965687	967590	GH01J000965	545	.	965687	967590	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	975270	979984	GH01J000975	438	.	975270	979984	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	983068	983175	GH01J000983	56	.	983068	983175	192,192,192	FANTOM5	Enhancer	-
chr1	997280	997430	GH01J000997	213	.	997280	997430	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	998599	1002377	GH01J000998	660	.	998599	1002377	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1004404	1007247	GH01J001004	453	.	1004404	1007247	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	1010388	1010654	GH01J001010	76	.	1010388	1010654	160,160,160	FANTOM5	Enhancer	-
